subject_id,model,condition,temperature,det_rate,fa_rate
Haiku_c1_safety_t1_2026-06-09T06:56:35.708Z,Haiku,c1_safety,1,0.8181818181818182,0.05454545454545454
Haiku_c1_safety_t1_2026-06-09T06:57:54.966Z,Haiku,c1_safety,1,0.8181818181818182,0.0303030303030303
Haiku_c1_safety_t1_2026-06-09T06:59:13.078Z,Haiku,c1_safety,1,0.9090909090909091,0.03636363636363636
Haiku_c1_safety_t1_2026-06-09T07:00:32.559Z,Haiku,c1_safety,1,1.0,0.024242424242424242
Haiku_c1_safety_t1_2026-06-09T07:01:55.196Z,Haiku,c1_safety,1,0.8181818181818182,0.03636363636363636
Haiku_c1_safety_t1_2026-06-09T07:03:33.188Z,Haiku,c1_safety,1,1.0,0.04242424242424243
Haiku_c1_safety_t1_2026-06-09T07:05:14.875Z,Haiku,c1_safety,1,0.9090909090909091,0.06666666666666667
Haiku_c1_safety_t1_2026-06-09T07:06:39.085Z,Haiku,c1_safety,1,0.8181818181818182,0.06666666666666667
Haiku_c1_safety_t1_2026-06-09T07:08:20.452Z,Haiku,c1_safety,1,0.8181818181818182,0.05454545454545454
Haiku_c2_trust_t0_2026-06-09T05:12:18.432Z,Haiku,c2_trust,0,0.8181818181818182,0.048484848484848485
Haiku_c2_trust_t0_2026-06-09T05:13:43.836Z,Haiku,c2_trust,0,1.0,0.03636363636363636
Haiku_c2_trust_t0_2026-06-09T05:15:08.625Z,Haiku,c2_trust,0,0.8181818181818182,0.03636363636363636
Haiku_c2_trust_t0_2026-06-09T05:16:26.348Z,Haiku,c2_trust,0,1.0,0.018181818181818184
Haiku_c2_trust_t0_2026-06-09T05:17:50.090Z,Haiku,c2_trust,0,0.8181818181818182,0.024242424242424242
Haiku_c2_trust_t0_2026-06-09T05:19:06.403Z,Haiku,c2_trust,0,0.9090909090909091,0.024242424242424242
Haiku_c2_trust_t0_2026-06-09T05:20:35.796Z,Haiku,c2_trust,0,0.8181818181818182,0.03636363636363636
Haiku_c2_trust_t0_2026-06-09T05:22:04.558Z,Haiku,c2_trust,0,0.8181818181818182,0.03636363636363636
Haiku_c2_trust_t0_2026-06-09T05:23:22.586Z,Haiku,c2_trust,0,0.8181818181818182,0.024242424242424242
Haiku_c2_trust_t0_2026-06-09T05:24:49.220Z,Haiku,c2_trust,0,0.9090909090909091,0.048484848484848485
Haiku_c2_trust_t0_2026-06-09T05:26:18.614Z,Haiku,c2_trust,0,0.8181818181818182,0.03636363636363636
Haiku_c2_trust_t0_2026-06-09T05:27:36.484Z,Haiku,c2_trust,0,0.8181818181818182,0.024242424242424242
Haiku_c2_trust_t0_2026-06-09T05:28:54.676Z,Haiku,c2_trust,0,0.8181818181818182,0.024242424242424242
Haiku_c2_trust_t0_2026-06-09T05:30:14.856Z,Haiku,c2_trust,0,0.8181818181818182,0.0303030303030303
Haiku_c2_trust_t0_2026-06-09T05:31:43.944Z,Haiku,c2_trust,0,0.8181818181818182,0.07272727272727272
Haiku_c2_trust_t0_2026-06-09T05:32:56.447Z,Haiku,c2_trust,0,0.7272727272727273,0.0606060606060606
Haiku_c2_trust_t0_2026-06-09T05:34:18.160Z,Haiku,c2_trust,0,0.8181818181818182,0.018181818181818184
Haiku_c2_trust_t0_2026-06-09T05:35:55.242Z,Haiku,c2_trust,0,0.9090909090909091,0.0606060606060606
Haiku_c2_trust_t0_2026-06-09T05:37:26.179Z,Haiku,c2_trust,0,0.8181818181818182,0.03636363636363636
Haiku_c2_trust_t0_2026-06-09T05:38:56.801Z,Haiku,c2_trust,0,0.9090909090909091,0.048484848484848485
Haiku_c2_trust_t1_2026-06-09T07:09:46.775Z,Haiku,c2_trust,1,0.8181818181818182,0.006060606060606061
Haiku_c2_trust_t1_2026-06-09T07:11:05.724Z,Haiku,c2_trust,1,0.7272727272727273,0.048484848484848485
Haiku_c2_trust_t1_2026-06-09T07:12:40.240Z,Haiku,c2_trust,1,1.0,0.048484848484848485
Haiku_c2_trust_t1_2026-06-09T07:14:13.119Z,Haiku,c2_trust,1,0.9090909090909091,0.0606060606060606
Haiku_c2_trust_t1_2026-06-09T07:15:50.193Z,Haiku,c2_trust,1,0.8181818181818182,0.04242424242424243
Haiku_c2_trust_t1_2026-06-09T07:17:15.286Z,Haiku,c2_trust,1,1.0,0.0303030303030303
Haiku_c2_trust_t1_2026-06-09T07:18:59.427Z,Haiku,c2_trust,1,1.0,0.048484848484848485
Haiku_c2_trust_t1_2026-06-09T07:20:44.799Z,Haiku,c2_trust,1,0.8181818181818182,0.04242424242424243
Haiku_c2_trust_t1_2026-06-09T07:22:17.234Z,Haiku,c2_trust,1,1.0,0.05454545454545454
Haiku_c2_trust_t1_2026-06-09T07:23:51.846Z,Haiku,c2_trust,1,0.9090909090909091,0.04242424242424243
Haiku_c2_trust_t1_2026-06-09T07:25:19.401Z,Haiku,c2_trust,1,0.9090909090909091,0.06666666666666667
Haiku_c2_trust_t1_2026-06-09T07:26:52.482Z,Haiku,c2_trust,1,0.9090909090909091,0.06666666666666667
Haiku_c2_trust_t1_2026-06-09T07:29:59.565Z,Haiku,c2_trust,1,1.0,0.06666666666666667
Haiku_c2_trust_t1_2026-06-09T07:31:38.173Z,Haiku,c2_trust,1,0.8181818181818182,0.07272727272727274
Haiku_c2_trust_t1_2026-06-09T07:32:56.818Z,Haiku,c2_trust,1,0.8181818181818182,0.08484848484848485
Haiku_c2_trust_t1_2026-06-09T07:34:20.685Z,Haiku,c2_trust,1,0.7272727272727273,0.03636363636363636
Haiku_c2_trust_t1_2026-06-09T07:35:37.483Z,Haiku,c2_trust,1,0.9090909090909091,0.03636363636363636
Haiku_c2_trust_t1_2026-06-09T07:37:28.924Z,Haiku,c2_trust,1,1.0,0.03636363636363636
Haiku_c2_trust_t1_2026-06-09T07:38:39.990Z,Haiku,c2_trust,1,1.0,0.0606060606060606
Haiku_c2_trust_t1_2026-06-09T07:40:10.304Z,Haiku,c2_trust,1,0.9090909090909091,0.03636363636363636
Haiku_c3_authorship_t0_2026-06-09T05:40:35.282Z,Haiku,c3_authorship,0,1.0,0.048484848484848485
Haiku_c3_authorship_t0_2026-06-09T05:42:10.514Z,Haiku,c3_authorship,0,0.9090909090909091,0.0303030303030303
Haiku_c3_authorship_t0_2026-06-09T05:43:41.581Z,Haiku,c3_authorship,0,0.9090909090909091,0.048484848484848485
Haiku_c3_authorship_t0_2026-06-09T05:45:15.278Z,Haiku,c3_authorship,0,0.9090909090909091,0.03636363636363636
Haiku_c3_authorship_t0_2026-06-09T05:46:46.824Z,Haiku,c3_authorship,0,0.9090909090909091,0.048484848484848485
Haiku_c3_authorship_t0_2026-06-09T05:48:22.060Z,Haiku,c3_authorship,0,1.0,0.0606060606060606
Haiku_c3_authorship_t0_2026-06-09T05:49:45.394Z,Haiku,c3_authorship,0,0.8181818181818182,0.024242424242424242
Haiku_c3_authorship_t0_2026-06-09T05:51:28.317Z,Haiku,c3_authorship,0,1.0,0.04242424242424243
Haiku_c3_authorship_t0_2026-06-09T05:53:02.845Z,Haiku,c3_authorship,0,0.9090909090909091,0.0303030303030303
Haiku_c3_authorship_t0_2026-06-09T05:54:40.230Z,Haiku,c3_authorship,0,1.0,0.04242424242424243
Haiku_c3_authorship_t0_2026-06-09T05:56:05.632Z,Haiku,c3_authorship,0,1.0,0.048484848484848485
Haiku_c3_authorship_t0_2026-06-09T05:57:59.291Z,Haiku,c3_authorship,0,0.9090909090909091,0.05454545454545454
Haiku_c3_authorship_t0_2026-06-09T05:59:37.604Z,Haiku,c3_authorship,0,1.0,0.048484848484848485
Haiku_c3_authorship_t0_2026-06-09T06:01:16.343Z,Haiku,c3_authorship,0,0.9090909090909091,0.04242424242424243
Haiku_c3_authorship_t0_2026-06-09T06:02:53.957Z,Haiku,c3_authorship,0,0.9090909090909091,0.0606060606060606
Haiku_c3_authorship_t0_2026-06-09T06:04:29.449Z,Haiku,c3_authorship,0,1.0,0.024242424242424242
Haiku_c3_authorship_t0_2026-06-09T06:06:03.754Z,Haiku,c3_authorship,0,1.0,0.018181818181818184
Haiku_c3_authorship_t0_2026-06-09T06:07:42.415Z,Haiku,c3_authorship,0,0.9090909090909091,0.018181818181818184
Haiku_c3_authorship_t0_2026-06-09T06:09:23.112Z,Haiku,c3_authorship,0,0.8181818181818182,0.03636363636363636
Haiku_c3_authorship_t0_2026-06-09T06:10:56.192Z,Haiku,c3_authorship,0,0.9090909090909091,0.06666666666666667
Haiku_c3_authorship_t1_2026-06-09T07:41:55.678Z,Haiku,c3_authorship,1,1.0,0.04242424242424243
Haiku_c3_authorship_t1_2026-06-09T07:43:27.839Z,Haiku,c3_authorship,1,0.8181818181818182,0.0787878787878788
Haiku_c3_authorship_t1_2026-06-09T07:45:11.980Z,Haiku,c3_authorship,1,0.9090909090909091,0.0606060606060606
Haiku_c3_authorship_t1_2026-06-09T07:46:48.438Z,Haiku,c3_authorship,1,0.8181818181818182,0.024242424242424242
Haiku_c3_authorship_t1_2026-06-09T07:48:26.157Z,Haiku,c3_authorship,1,0.9090909090909091,0.0303030303030303
Haiku_c3_authorship_t1_2026-06-09T07:50:08.733Z,Haiku,c3_authorship,1,0.9090909090909091,0.03636363636363636
Haiku_c3_authorship_t1_2026-06-09T07:51:58.068Z,Haiku,c3_authorship,1,1.0,0.024242424242424242
Haiku_c3_authorship_t1_2026-06-09T07:53:48.658Z,Haiku,c3_authorship,1,0.8181818181818182,0.09090909090909091
Haiku_c3_authorship_t1_2026-06-09T07:56:06.898Z,Haiku,c3_authorship,1,1.0,0.048484848484848485
Haiku_c3_authorship_t1_2026-06-09T07:57:38.751Z,Haiku,c3_authorship,1,0.7272727272727273,0.024242424242424242
Haiku_c3_authorship_t1_2026-06-09T07:59:17.667Z,Haiku,c3_authorship,1,0.9090909090909091,0.0303030303030303
Haiku_c3_authorship_t1_2026-06-09T08:00:32.009Z,Haiku,c3_authorship,1,0.7272727272727273,0.024242424242424242
Haiku_c3_authorship_t1_2026-06-09T08:02:00.481Z,Haiku,c3_authorship,1,0.8181818181818182,0.0606060606060606
Haiku_c3_authorship_t1_2026-06-09T08:03:47.695Z,Haiku,c3_authorship,1,0.9090909090909091,0.018181818181818184
Haiku_c3_authorship_t1_2026-06-09T08:05:16.473Z,Haiku,c3_authorship,1,1.0,0.07878787878787878
Haiku_c3_authorship_t1_2026-06-09T08:06:48.959Z,Haiku,c3_authorship,1,1.0,0.018181818181818184
Haiku_c3_authorship_t1_2026-06-09T08:08:39.314Z,Haiku,c3_authorship,1,0.8181818181818182,0.012121212121212121
Haiku_c3_authorship_t1_2026-06-09T08:10:09.869Z,Haiku,c3_authorship,1,0.8181818181818182,0.0606060606060606
Haiku_c3_authorship_t1_2026-06-09T08:12:03.843Z,Haiku,c3_authorship,1,1.0,0.05454545454545454
Haiku_c3_authorship_t1_2026-06-09T08:14:00.574Z,Haiku,c3_authorship,1,0.9090909090909091,0.048484848484848485
Opus_c0_neutral_t0_2026-06-10T07:14:58.184Z,Opus,c0_neutral,0,0.8181818181818182,0.05454545454545454
Opus_c0_neutral_t0_2026-06-10T07:16:05.077Z,Opus,c0_neutral,0,0.8181818181818182,0.018181818181818184
Opus_c0_neutral_t0_2026-06-10T07:18:26.921Z,Opus,c0_neutral,0,0.8181818181818182,0.06666666666666667
Opus_c0_neutral_t0_2026-06-10T07:19:36.089Z,Opus,c0_neutral,0,0.8181818181818182,0.03636363636363636
Opus_c0_neutral_t0_2026-06-10T07:20:40.934Z,Opus,c0_neutral,0,0.8181818181818182,0.048484848484848485
Opus_c0_neutral_t0_2026-06-10T07:22:58.869Z,Opus,c0_neutral,0,0.8181818181818182,0.0303030303030303
Opus_c0_neutral_t0_2026-06-10T07:25:29.093Z,Opus,c0_neutral,0,0.8181818181818182,0.0303030303030303
